horizon,model,n,trading_day_scaling_oos_r2,calendar_day_scaling_oos_r2,difference_calendar_minus_trading,mean_calendar_days
5,q_raw,3198,0.35232991115144685,0.34200199195904324,-0.010327919192403612,7.257661038148843
5,q_mz,3198,0.30131410621020494,0.29401747398597433,-0.007296632224230604,7.257661038148843
5,har4,3198,0.11379379488536612,0.11379379488536667,5.551115123125783e-16,7.257661038148843
5,harqts,3198,0.2544135552930036,0.2510890090520944,-0.0033245462409091653,7.257661038148843
22,q_raw,3164,0.1836549280000329,0.17791977591911978,-0.005735152080913131,31.938685208596713
22,q_mz,3164,0.17919452947081616,0.17766359765824036,-0.0015309318125757976,31.938685208596713
22,har4,3164,0.14247804110261786,0.14247804110261808,2.220446049250313e-16,31.938685208596713
22,harqts,3164,0.19216016683862192,0.18975506707073897,-0.0024050997678829455,31.938685208596713
66,q_raw,3076,-0.20410088777697766,-0.20541068168234955,-0.0013097939053718921,95.82509752925878
66,q_mz,3076,0.06339384504867218,0.06328514340875269,-0.00010870163991949511,95.82509752925878
66,har4,3076,0.024632634047170088,0.0246326340471702,1.1102230246251565e-16,95.82509752925878
66,harqts,3076,0.05949841747258788,0.05829609787891321,-0.0012023195936746722,95.82509752925878
