horizon,model,n,mean_realized,mean_forecast,mean_forecast_to_realized_ratio,mean_error_realized_minus_forecast,mean_absolute_error,mse,squared_bias_share_of_mse,correlation,oos_r2,evaluation_intercept,evaluation_intercept_p,evaluation_slope,evaluation_slope_p,zero_forecast_count
5,mean,3198,0.0005806693419901721,0.000535972612720779,0.9230255051589247,4.46967292693932e-05,0.0005465825965548148,3.0103688183700926e-06,0.0006636388190012878,-0.011813297589811091,0.0,0.0007419125764102223,0.3513213771300301,-0.30084230162717157,0.8250496611347509,0
5,q_raw,3198,0.0005806693419901721,0.000720185458566605,1.2402677504864623,-0.0001395161165764328,0.00047155482994247,1.9497258400606716e-06,0.009983325031976333,0.6197180409561783,0.35232991115144685,-0.0004011062990423001,0.015391238381348076,1.3632261375931047,4.628326163251609e-06,0
5,q_mz,3198,0.0005806693419901721,0.0005797988198204629,0.9985008298066408,8.705221697092879e-07,0.00041339232059747023,2.103302228499837e-06,3.602947962908152e-07,0.5513183766522471,0.30131410621020494,6.576652649396356e-05,0.26585998845840597,0.8880715135909554,5.002847826689047e-07,11
5,har4,3198,0.0005806693419901721,0.0005906951876899845,1.01726601522555,-1.0025845699812236e-05,0.00043974514948141164,2.6678075265231844e-06,3.76779737657622e-05,0.5164502946035693,0.11379379488536612,0.0002458026769079494,0.0002703166399257592,0.5669026463407919,3.2953525108928474e-06,0
5,harqts,3198,0.0005806693419901721,0.0005304444191796858,0.9135051238655951,5.02249228104864e-05,0.0003952727397332905,2.244490184545359e-06,0.0011238823358143933,0.5640456781530463,0.2544135552930036,0.0002155524125451851,0.0028929840343736224,0.6883226898863938,1.1987968938237085e-05,97
22,mean,3164,0.002568183390428737,0.0023556392947192356,0.9172395178235232,0.00021254409570950123,0.00213525333592202,3.427081122733821e-05,0.0013181769267525544,-0.08032085370354973,0.0,0.006239802092451287,0.258618425324028,-1.5586506432684453,0.4729325744515315,0
22,q_raw,3164,0.002568183390428737,0.0031811749755240536,1.2386868427620283,-0.0006129915850953163,0.0020688311966890276,2.7976807858878695e-05,0.01343107781606392,0.4535379746395987,0.1836549280000329,0.00015673749246920355,0.5869303061405134,0.7580362339428638,3.0190776139018595e-07,0
22,q_mz,3164,0.002568183390428737,0.002371585323264465,0.9234485870841757,0.00019659806716427252,0.001646857984252509,2.812966933487218e-05,0.0013740225508023533,0.41318412086193457,0.17919452947081616,6.754118678009959e-05,0.8679529757527035,1.0544179790278536,6.722310035418606e-05,0
22,har4,3164,0.002568183390428737,0.0023992580863537753,0.9342238156727737,0.00016892530407496123,0.0018124886978212863,2.938797317666946e-05,0.0009710012386792327,0.37837193176630396,0.14247804110261786,0.0006776125815594268,0.06640831448693343,0.7879814262676801,3.3348295611849953e-05,0
22,harqts,3164,0.002568183390428737,0.0021883893808302118,0.8521156974171062,0.0003797940095985252,0.001721859077103697,2.7685326424197985e-05,0.005210106159371506,0.4320838257612745,0.19216016683862192,0.0003083879339133859,0.33237404386496694,1.0326295111421404,3.3394034707416983e-06,39
66,mean,3076,0.007811071988635459,0.007043115933056204,0.9016836540878672,0.0007679560555792554,0.005858158743432969,0.00015507583922156387,0.003803019904720532,-0.15514137571452694,0.0,0.02268904373624383,0.20477095113408827,-2.1124132967597538,0.36945665603134137,0
66,q_raw,3076,0.007811071988635459,0.011181384132445182,1.4314788224603847,-0.003370312143809725,0.007728595410136614,0.00018672695567944488,0.06083215947788151,0.2453046611552222,-0.20410088777697766,0.004012652080923961,0.028008825789770226,0.3397092759463983,2.527660863455961e-07,0
66,q_mz,3076,0.007811071988635459,0.00689403289999767,0.8825975371918202,0.0009170390886377887,0.005097538818700585,0.00014524498549915924,0.005789946463208494,0.20655917692942924,0.06339384504867218,0.002493084839602363,0.3313950082272994,0.7713898709469316,0.0016080897314343597,0
66,har4,3076,0.007811071988635459,0.0069270440561462025,0.8868237376668077,0.0008840279324892561,0.0055258108548135775,0.0001512559128244613,0.005166775769805427,0.21320008171927407,0.024632634047170088,0.004375332897942185,0.010919308669837612,0.4959892073509803,1.0813722490870794e-08,31
66,harqts,3076,0.007811071988635459,0.006524323858187491,0.8352661283470318,0.001286748130447967,0.005399893548246039,0.00014584907219964734,0.01135228854212308,0.2369598435878265,0.05949841747258788,0.003549427778379367,0.026739681991530144,0.6531932354811106,9.492005855740902e-09,38
