fund,horizon,n,mean_drag_pct,median_drag_pct,mean_abs_drag_pct,p90_abs_drag_pct,p95_abs_drag_pct
SSO,5,4018,-0.11499894433057764,-0.09337939629853187,0.12794309444350319,0.22736556750819759,0.29062909763486455
UPRO,5,4018,-0.2764820797952018,-0.19775211329136066,0.29282831290028116,0.5127019666537258,0.7096644042125531
SDS,5,4018,-0.11424748791415815,-0.05194280394351658,0.20560449869925515,0.3549941802755898,0.5482578981408444
SPXU,5,4018,-0.26728977858847236,-0.11315266855094208,0.37230987865425885,0.715633983863633,1.0814219387178774
SSO,22,4001,-0.5062594679658718,-0.36765538064891246,0.5080439774230064,0.8499609385410611,1.013435708076038
UPRO,22,4001,-1.2174937990808332,-0.8195228883628669,1.2207155647286319,2.107388855308967,2.7134596673248135
SDS,22,4001,-0.5049184295928909,-0.32253490629354786,0.8209443380994372,1.4101516064028985,2.2105513692016743
SPXU,22,4001,-1.1800811112700305,-0.6226006536354411,1.4980815881623704,2.9009956206590637,4.365967999500597
SSO,66,3957,-1.519990086422697,-1.0906928329320387,1.5200311721245283,2.484075040265674,3.0866361430048417
UPRO,66,3957,-3.6569543830469975,-2.5062354602760184,3.658318193439742,6.342521894661438,8.001329755586946
SDS,66,3957,-1.5275452986609503,-1.2016127100320517,2.3872749811934986,3.9720492345310277,5.722364328687205
SPXU,66,3957,-3.564028878307178,-2.329729770631328,4.393738188016955,8.659597787096711,11.476550377862491
