fund,horizon,n,beta,gamma,estimated_rv_slope,estimated_rv_slope_se,slope_minus_theory,slope_theory_wald_t,mapping_r2,corr_drag_theory,sd_theory,sd_residual,signal_noise_ratio,variance_share_ratio
SSO,5,4018,2.0,1.0,-1.0916846633358306,0.04155086129359401,-0.09168466333583059,-2.2065646891889052,0.7433012325210256,0.8621491938875918,0.00160861650695787,0.0010424842923027345,1.5430606665589282,0.6236923751948577
UPRO,5,4018,3.0,3.0,-3.4264132439199475,0.10920233484035319,-0.4264132439199475,-3.9047996963007825,0.8854745576414527,0.9409965768489564,0.00482584952087361,0.002097561475556364,2.300695153448881,0.678795753068727
SDS,5,4018,-2.0,3.0,-3.124051964456192,0.1178546945470503,-0.12405196445619193,-1.0525839885543764,0.9117415433211116,0.9548515818288785,0.00482584952087361,0.0015762373323444235,3.061626204282233,0.840771060688884
SPXU,5,4018,-3.0,6.0,-6.153795801664874,0.19088745641695967,-0.15379580166487372,-0.8056883597889961,0.937348485802429,0.9681675917951549,0.00965169904174722,0.0025711690547314376,3.7538173633453886,0.8910814863226518
SSO,22,4001,2.0,1.0,-1.115365164567206,0.02097178330915792,-0.11536516456720602,-5.500970655024296,0.8984358223571651,0.9478585455420894,0.005367601131514093,0.0021060038239380493,2.5487138582099687,0.722192388769357
UPRO,22,4001,3.0,3.0,-3.437572117179242,0.08716605234254529,-0.43757211717924216,-5.019983186340372,0.9531187404559893,0.9762780036731293,0.016102803394542276,0.004718331755055818,3.4128171206460194,0.7259151865660142
SDS,22,4001,-2.0,3.0,-3.1644057109315176,0.07960508950551805,-0.16440571093151757,-2.06526632848169,0.9177634422019257,0.9579997088736117,0.016102803394542276,0.005160410758095384,3.120449931099193,0.8248765251935585
SPXU,22,4001,-3.0,6.0,-6.299835452325977,0.14627674815495978,-0.2998354523259774,-2.0497820474402646,0.9572664111160327,0.9783999239145679,0.03220560678908455,0.007323620710618958,4.397497912799841,0.8683142114669372
SSO,66,3957,2.0,1.0,-1.0995238585828355,0.028152924562078747,-0.09952385858283552,-3.5351161604322825,0.8487254110679662,0.9212629435009122,0.011321489558176669,0.0053748532469459764,2.106381149031298,0.7020335866913869
UPRO,66,3957,3.0,3.0,-3.382439533767575,0.08136558325176266,-0.3824395337675748,-4.700261689075888,0.9291200284672592,0.9639087241369169,0.03396446867453,0.011428840912388803,2.971820933977014,0.7308937498802275
SDS,66,3957,-2.0,3.0,-3.195954846639924,0.10454069277619676,-0.1959548466399239,-1.8744360826020998,0.858721211203734,0.9266721163409073,0.03396446867453,0.01484302994582979,2.2882436267045634,0.7566472016624658
SPXU,66,3957,-3.0,6.0,-6.368021507137107,0.16004936778161988,-0.36802150713710713,-2.2994249351815985,0.9294913227879705,0.9641013031771981,0.06792893734906,0.020289110815138567,3.348049008553659,0.8251611976940633
