fund,horizon,model,mapping,n,oos_r2,rmse,mae
SSO,5,q_raw,intercept,3198,0.3000649190269393,0.0017998914233682826,0.0007714724936336073
SSO,5,q_raw,rate,3198,0.32515681317133494,0.0017673349291160913,0.0007208124253952045
SSO,5,q_mz,intercept,3198,0.26832133347349196,0.0018402533765866957,0.0008256323401920213
SSO,5,q_mz,rate,3198,0.3184776077051993,0.0017760594215235413,0.0007029481082311192
SSO,5,har4,intercept,3198,0.24210780894721418,0.00187292826231651,0.00079973349569906
SSO,5,har4,rate,3198,0.2802070523283454,0.0018252452235595561,0.0007060200341894845
SSO,5,harq,intercept,3198,0.26917755893827156,0.0018391763101669593,0.000813969340476023
SSO,5,harq,rate,3198,0.31513757904840156,0.0017804061892445562,0.0006940456870171899
SSO,5,harqts,intercept,3198,0.3147672269723013,0.001780887518041265,0.0007782452650908982
SSO,5,harqts,rate,3198,0.35555910248266753,0.0017270661567564116,0.0006756769037792261
UPRO,5,q_raw,intercept,3198,0.3209722350858172,0.005130547929548421,0.0017138737860422837
UPRO,5,q_raw,rate,3198,0.32906149767342197,0.005099896240622387,0.00170379478785916
UPRO,5,q_mz,intercept,3198,0.28558170612692513,0.005262550377221537,0.0018380748525525174
UPRO,5,q_mz,rate,3198,0.3107296546748409,0.00516909816594612,0.0016081189686642963
UPRO,5,har4,intercept,3198,0.2461214341924719,0.00540593327179277,0.0017802783234194658
UPRO,5,har4,rate,3198,0.263068913915223,0.005344824152327927,0.0016389894209188063
UPRO,5,harq,intercept,3198,0.2776173745856444,0.005291802520038431,0.0018148638135906503
UPRO,5,harq,rate,3198,0.2999241118749222,0.005209458022376395,0.001594758329335012
UPRO,5,harqts,intercept,3198,0.32448310453909546,0.005117267156154006,0.00169271752330036
UPRO,5,harqts,rate,3198,0.3431863059949052,0.005045928383053553,0.0015219308849742743
SDS,5,q_raw,intercept,3198,0.32883798277103227,0.004657821746291818,0.0021617697452548166
SDS,5,q_raw,rate,3198,0.3937220660378117,0.004426954515022452,0.0015618809950163326
SDS,5,q_mz,intercept,3198,0.3263863148727164,0.0046663212012189375,0.0018998179801065528
SDS,5,q_mz,rate,3198,0.3609496087950853,0.0045450297611126156,0.0014520750971258945
SDS,5,har4,intercept,3198,0.1766258019441651,0.005159027056793837,0.002035070628439649
SDS,5,har4,rate,3198,0.22590126892067475,0.0050022726183024235,0.001512622181049166
SDS,5,harq,intercept,3198,0.23603702337724497,0.0049694157823334225,0.0019343349743230485
SDS,5,harq,rate,3198,0.27587554380684687,0.004838110536808175,0.0014672903656338789
SDS,5,harqts,intercept,3198,0.2871746234607391,0.004800215720619975,0.001926932654929342
SDS,5,harqts,rate,3198,0.33332949272649925,0.004642210186939008,0.0014155438108946982
SPXU,5,q_raw,intercept,3198,0.35832874723979014,0.008824104794127983,0.0037961348753774967
SPXU,5,q_raw,rate,3198,0.3935223920185904,0.008578705338289142,0.003033147595250013
SPXU,5,q_mz,intercept,3198,0.35568693843754484,0.00884225088761611,0.00324830618990231
SPXU,5,q_mz,rate,3198,0.36900347725426397,0.008750398841641742,0.002742619194216139
SPXU,5,har4,intercept,3198,0.20282839404464537,0.009835360348459152,0.0035032169385644197
SPXU,5,har4,rate,3198,0.22678240356038104,0.009686463136008324,0.0028744707269378845
SPXU,5,harq,intercept,3198,0.2622425082343093,0.009461743700982635,0.003310534652644083
