horizon,fund,gamma,model,underlying_variance_oos_r2,idealized_drag_oos_r2,absolute_difference
5,SSO,1.0,q_raw,0.35232991115144685,0.35232991115144685,0.0
5,SSO,1.0,q_mz,0.30131410621020494,0.30131410621020494,0.0
5,SSO,1.0,har4,0.11379379488536612,0.11379379488536612,0.0
5,SSO,1.0,harqts,0.2544135552930036,0.2544135552930036,0.0
5,UPRO,3.0,q_raw,0.35232991115144685,0.35232991115144663,2.220446049250313e-16
5,UPRO,3.0,q_mz,0.30131410621020494,0.3013141062102048,1.1102230246251565e-16
5,UPRO,3.0,har4,0.11379379488536612,0.11379379488536567,4.440892098500626e-16
5,UPRO,3.0,harqts,0.2544135552930036,0.25441355529300347,1.1102230246251565e-16
5,SDS,3.0,q_raw,0.35232991115144685,0.35232991115144663,2.220446049250313e-16
5,SDS,3.0,q_mz,0.30131410621020494,0.3013141062102048,1.1102230246251565e-16
5,SDS,3.0,har4,0.11379379488536612,0.11379379488536567,4.440892098500626e-16
5,SDS,3.0,harqts,0.2544135552930036,0.25441355529300347,1.1102230246251565e-16
5,SPXU,6.0,q_raw,0.35232991115144685,0.35232991115144663,2.220446049250313e-16
5,SPXU,6.0,q_mz,0.30131410621020494,0.3013141062102048,1.1102230246251565e-16
5,SPXU,6.0,har4,0.11379379488536612,0.11379379488536567,4.440892098500626e-16
5,SPXU,6.0,harqts,0.2544135552930036,0.25441355529300347,1.1102230246251565e-16
22,SSO,1.0,q_raw,0.1836549280000329,0.1836549280000329,0.0
22,SSO,1.0,q_mz,0.17919452947081616,0.17919452947081616,0.0
22,SSO,1.0,har4,0.14247804110261786,0.14247804110261786,0.0
22,SSO,1.0,harqts,0.19216016683862192,0.19216016683862192,0.0
22,UPRO,3.0,q_raw,0.1836549280000329,0.1836549280000329,0.0
22,UPRO,3.0,q_mz,0.17919452947081616,0.17919452947081604,1.1102230246251565e-16
22,UPRO,3.0,har4,0.14247804110261786,0.14247804110261808,2.220446049250313e-16
22,UPRO,3.0,harqts,0.19216016683862192,0.1921601668386218,1.1102230246251565e-16
22,SDS,3.0,q_raw,0.1836549280000329,0.1836549280000329,0.0
22,SDS,3.0,q_mz,0.17919452947081616,0.17919452947081604,1.1102230246251565e-16
22,SDS,3.0,har4,0.14247804110261786,0.14247804110261808,2.220446049250313e-16
22,SDS,3.0,harqts,0.19216016683862192,0.1921601668386218,1.1102230246251565e-16
22,SPXU,6.0,q_raw,0.1836549280000329,0.1836549280000329,0.0
22,SPXU,6.0,q_mz,0.17919452947081616,0.17919452947081604,1.1102230246251565e-16
22,SPXU,6.0,har4,0.14247804110261786,0.14247804110261808,2.220446049250313e-16
22,SPXU,6.0,harqts,0.19216016683862192,0.1921601668386218,1.1102230246251565e-16
66,SSO,1.0,q_raw,-0.20410088777697766,-0.20410088777697766,0.0
66,SSO,1.0,q_mz,0.06339384504867218,0.06339384504867218,0.0
66,SSO,1.0,har4,0.024632634047170088,0.024632634047170088,0.0
66,SSO,1.0,harqts,0.05949841747258788,0.05949841747258788,0.0
66,UPRO,3.0,q_raw,-0.20410088777697766,-0.20410088777697766,0.0
66,UPRO,3.0,q_mz,0.06339384504867218,0.06339384504867229,1.1102230246251565e-16
66,UPRO,3.0,har4,0.024632634047170088,0.02463263404717042,3.3306690738754696e-16
66,UPRO,3.0,harqts,0.05949841747258788,0.059498417472587994,1.1102230246251565e-16
66,SDS,3.0,q_raw,-0.20410088777697766,-0.20410088777697766,0.0
66,SDS,3.0,q_mz,0.06339384504867218,0.06339384504867229,1.1102230246251565e-16
66,SDS,3.0,har4,0.024632634047170088,0.02463263404717042,3.3306690738754696e-16
66,SDS,3.0,harqts,0.05949841747258788,0.059498417472587994,1.1102230246251565e-16
66,SPXU,6.0,q_raw,-0.20410088777697766,-0.20410088777697766,0.0
66,SPXU,6.0,q_mz,0.06339384504867218,0.06339384504867229,1.1102230246251565e-16
66,SPXU,6.0,har4,0.024632634047170088,0.02463263404717042,3.3306690738754696e-16
66,SPXU,6.0,harqts,0.05949841747258788,0.059498417472587994,1.1102230246251565e-16
