horizon,comparison,model_a,model_b,method,parameter,n,mean_loss_gain_a_over_b,statistic,p_value
5,MZ option vs raw option,q_mz,q_raw,HAC,4,3198,-1.5357638843916522e-07,-2.120606755922929,0.03395490912396865
5,MZ option vs raw option,q_mz,q_raw,HAC,10,3198,-1.5357638843916522e-07,-1.5652457353873297,0.11752530144241637
5,MZ option vs raw option,q_mz,q_raw,circular_block_bootstrap,4,3198,-1.5357638843916522e-07,,0.0238
5,MZ option vs raw option,q_mz,q_raw,circular_block_bootstrap,10,3198,-1.5357638843916522e-07,,0.0874
5,MZ option vs HAR(4),q_mz,har4,HAC,4,3198,5.645052980233474e-07,0.8935306374364885,0.37157307269885875
5,MZ option vs HAR(4),q_mz,har4,HAC,10,3198,5.645052980233474e-07,0.9634258057968541,0.3353338811085451
5,MZ option vs HAR(4),q_mz,har4,circular_block_bootstrap,4,3198,5.645052980233474e-07,,0.3546
5,MZ option vs HAR(4),q_mz,har4,circular_block_bootstrap,10,3198,5.645052980233474e-07,,0.3278
5,HAR + option + term vs HAR(4),harqts,har4,HAC,4,3198,4.233173419778255e-07,1.7066516624479733,0.08788681662487616
5,HAR + option + term vs HAR(4),harqts,har4,HAC,10,3198,4.233173419778255e-07,1.5246290034149113,0.1273516590277517
5,HAR + option + term vs HAR(4),harqts,har4,circular_block_bootstrap,4,3198,4.233173419778255e-07,,0.0506
5,HAR + option + term vs HAR(4),harqts,har4,circular_block_bootstrap,10,3198,4.233173419778255e-07,,0.0808
22,MZ option vs raw option,q_mz,q_raw,HAC,21,3164,-1.528614759934859e-07,-0.0703680691638706,0.9439007053436341
22,MZ option vs raw option,q_mz,q_raw,HAC,27,3164,-1.528614759934859e-07,-0.07274927102046178,0.9420056397866297
22,MZ option vs raw option,q_mz,q_raw,HAC,44,3164,-1.528614759934859e-07,-0.07819819331271721,0.9376703991462128
22,MZ option vs raw option,q_mz,q_raw,circular_block_bootstrap,21,3164,-1.528614759934859e-07,,0.9522
22,MZ option vs raw option,q_mz,q_raw,circular_block_bootstrap,27,3164,-1.528614759934859e-07,,0.9536
22,MZ option vs raw option,q_mz,q_raw,circular_block_bootstrap,44,3164,-1.528614759934859e-07,,0.9362
