horizon,spec,target_type,model,n,start,end,oos_r2,rmse,mae,mean_realized,mean_forecast,robustness
5,lagged_one_day,rv,mean,3198,2013-04-09,2025-12-22,0.0,0.0017350414457211394,0.0005465825965548257,0.0005806693419902098,0.0005359726127208287,lagged_one_day
5,lagged_one_day,rv,q_raw,3198,2013-04-09,2025-12-22,0.31393896826396483,0.0014371140307703424,0.00048042582441837524,0.0005806693419902098,0.0007201704006007888,lagged_one_day
5,lagged_one_day,rv,q_mz,3198,2013-04-09,2025-12-22,0.2600234718266943,0.001492515415913244,0.00042357602036894573,0.0005806693419902098,0.0005801299763860046,lagged_one_day
5,lagged_one_day,rv,har3,3198,2013-04-09,2025-12-22,0.12811747872979018,0.001620088872659073,0.00043891689823422417,0.0005806693419902098,0.0005891711222463168,lagged_one_day
5,lagged_one_day,rv,har4,3198,2013-04-09,2025-12-22,0.11379379488536667,0.0016333424400667455,0.00043974514948142313,0.0005806693419902098,0.0005906951876900341,lagged_one_day
5,lagged_one_day,rv,harq,3198,2013-04-09,2025-12-22,0.15453086575568487,0.0015953601219234018,0.0004303006918359449,0.0005806693419902098,0.0005657008214911519,lagged_one_day
5,lagged_one_day,rv,harqts,3198,2013-04-09,2025-12-22,0.19588578950979385,0.0015558535746232705,0.0004159469578718242,0.0005806693419902098,0.0005443367028669365,lagged_one_day
22,lagged_one_day,rv,mean,3164,2013-05-02,2025-11-26,0.0,0.005854127708492376,0.0021352533359220195,0.0025681833904287864,0.002355639294719286,lagged_one_day
22,lagged_one_day,rv,q_raw,3164,2013-05-02,2025-11-26,0.14175981654542968,0.005423337285739075,0.0021151229680589365,0.0025681833904287864,0.0031809389631741207,lagged_one_day
22,lagged_one_day,rv,q_mz,3164,2013-05-02,2025-11-26,0.1542355170655033,0.005383775156656844,0.001687393056736968,0.0025681833904287864,0.0023629695479830577,lagged_one_day
22,lagged_one_day,rv,har3,3164,2013-05-02,2025-11-26,0.15791008490766545,0.005372067061809136,0.0017968664113166336,0.0025681833904287864,0.0024037492962529976,lagged_one_day
22,lagged_one_day,rv,har4,3164,2013-05-02,2025-11-26,0.14247804110261808,0.005421067531092879,0.0018124886978212863,0.0025681833904287864,0.002399258086353826,lagged_one_day
22,lagged_one_day,rv,harq,3164,2013-05-02,2025-11-26,0.1674882404306941,0.005341428025981333,0.0017328798002476488,0.0025681833904287864,0.002319544325398212,lagged_one_day
22,lagged_one_day,rv,harqts,3164,2013-05-02,2025-11-26,0.1630670363804576,0.005355592554157013,0.0017606552776645084,0.0025681833904287864,0.0022313324567485083,lagged_one_day
66,lagged_one_day,rv,mean,3076,2013-07-05,2025-09-25,0.0,0.01245294500194889,0.0058581587434329676,0.007811071988635508,0.007043115933056253,lagged_one_day
66,lagged_one_day,rv,q_raw,3076,2013-07-05,2025-09-25,-0.22684089617148895,0.013793236805229191,0.0077873663309769555,0.007811071988635508,0.01118086053166709,lagged_one_day
