check,pass,detail
hardening version is 2.1,True,2.1
market data hash,True,54e965d435da3b26ecc50cb6df7bc193d6b66a9b202837b9d2002a9e7384c715
rates hash,True,b73beaedaaf92394adf94ed7de7660ccf52e8ca5ae63a8cb6c69edb0ad29f461
all core data checks pass,True,
5d row count,True,3198
5d target follows origin,True,
5d training resolves by origin,True,
5d minimum training sample,True,750
5d finite row-level values,True,
5d OOS R2 mean,True,0 vs 0
5d OOS R2 q_raw,True,0.352329911151447 vs 0.352329911151446
5d OOS R2 q_mz,True,0.301314106210205 vs 0.301314106210206
5d OOS R2 har3,True,0.12811747872979 vs 0.12811747872979
5d OOS R2 har4,True,0.113793794885366 vs 0.113793794885367
5d OOS R2 harq,True,0.186222631644652 vs 0.186222631644652
5d OOS R2 harqts,True,0.254413555293004 vs 0.254413555293003
22d row count,True,3164
22d target follows origin,True,
22d training resolves by origin,True,
22d minimum training sample,True,750
22d finite row-level values,True,
22d OOS R2 mean,True,0 vs 0
22d OOS R2 q_raw,True,0.183654928000033 vs 0.183654928000032
22d OOS R2 q_mz,True,0.179194529470816 vs 0.179194529470816
22d OOS R2 har3,True,0.157910084907666 vs 0.157910084907665
22d OOS R2 har4,True,0.142478041102618 vs 0.142478041102618
22d OOS R2 harq,True,0.186804815590456 vs 0.186804815590456
22d OOS R2 harqts,True,0.192160166838622 vs 0.192160166838621
66d row count,True,3076
66d target follows origin,True,
66d training resolves by origin,True,
66d minimum training sample,True,750
66d finite row-level values,True,
66d OOS R2 mean,True,0 vs 0
66d OOS R2 q_raw,True,-0.204100887776978 vs -0.204100887776978
66d OOS R2 q_mz,True,0.0633938450486722 vs 0.0633938450486724
66d OOS R2 har3,True,0.0395924988490136 vs 0.0395924988490138
66d OOS R2 har4,True,0.0246326340471701 vs 0.0246326340471702
66d OOS R2 harq,True,0.0566680846428133 vs 0.0566680846428131
66d OOS R2 harqts,True,0.0594984174725879 vs 0.0594984174725877
66d MZ-vs-raw mean loss gain,True,
66d MZ-vs-raw HAC t,True,2.332038287880156 vs 2.3320382878801578
66d MZ-vs-raw HAC p,True,0.01969867703317469 vs 0.0196986770331746
66d encompassing option coefficient,True,
66d encompassing option p,True,
66d MZ option vs raw option MSE mean,True,
66d MZ option vs raw option MSE HAC t,True,
66d MZ option vs raw option MSE HAC p,True,
66d MZ option vs raw option MAE mean,True,
66d MZ option vs raw option MAE HAC t,True,
66d MZ option vs raw option MAE HAC p,True,
66d MZ option vs raw option QLIKE mean,True,
66d MZ option vs raw option QLIKE HAC t,True,
66d MZ option vs raw option QLIKE HAC p,True,
66d MZ option vs HAR(4) MSE mean,True,
66d MZ option vs HAR(4) MSE HAC t,True,
66d MZ option vs HAR(4) MSE HAC p,True,
66d MZ option vs HAR(4) MAE mean,True,
66d MZ option vs HAR(4) MAE HAC t,True,
66d MZ option vs HAR(4) MAE HAC p,True,
66d MZ option vs HAR(4) QLIKE mean,True,
66d MZ option vs HAR(4) QLIKE HAC t,True,
66d MZ option vs HAR(4) QLIKE HAC p,True,
66d HAR + option + term vs HAR(4) MSE mean,True,
66d HAR + option + term vs HAR(4) MSE HAC t,True,
66d HAR + option + term vs HAR(4) MSE HAC p,True,
66d HAR + option + term vs HAR(4) MAE mean,True,
66d HAR + option + term vs HAR(4) MAE HAC t,True,
66d HAR + option + term vs HAR(4) MAE HAC p,True,
66d HAR + option + term vs HAR(4) QLIKE mean,True,
66d HAR + option + term vs HAR(4) QLIKE HAC t,True,
66d HAR + option + term vs HAR(4) QLIKE HAC p,True,
MZ beats raw under 66d MSE,True,
MZ beats raw under 66d MAE,True,
no false QLIKE dominance claim,True,"{'horizon': 66, 'comparison': 'MZ option vs raw option', 'model_a': 'q_mz', 'model_b': 'q_raw', 'loss': 'QLIKE', 'floor_fraction_of_mean_target': 0.01, 'floor_value': 7.81107198863546e-05, 'n': 3076, 'delta_oos_r2': 0.2674947328256498, 'mean_loss_gain_a_over_b': -0.0084869182796358, 'hac_lags': 71, 'hac_t': -0.0941188440646164, 'hac_p': 0.9250147514283172, 'block_length': 71, 'block_p': 0.9218}"
66d HAC sensitivity remains below 0.03,True,[0.01880192 0.01969868 0.02750138]
66d block sensitivity remains below 0.03,True,[0.0198 0.0246 0.0244]
raw 66d forecast mean ratio,True,
MZ reduces squared-bias share,True,
MZ does not increase correlation,True,
idealized leverage scale invariance,True,4.440892098500626e-16
66d calendar scaling q_raw,True,-0.2054106816823495
66d calendar scaling q_mz,True,0.0632851434087526
full regime matches baseline MZ,True,
event-exclusion MZ remains positive,True,
fund 66d R2 SSO q_raw,True,
fund 66d R2 SSO q_mz,True,
fund 66d R2 SSO har4,True,
fund 66d R2 SSO harqts,True,
fund 66d R2 UPRO q_raw,True,
fund 66d R2 UPRO q_mz,True,
fund 66d R2 UPRO har4,True,
fund 66d R2 UPRO harqts,True,
fund 66d R2 SDS q_raw,True,
fund 66d R2 SDS q_mz,True,
fund 66d R2 SDS har4,True,
fund 66d R2 SDS harqts,True,
fund 66d R2 SPXU q_raw,True,
fund 66d R2 SPXU q_mz,True,
fund 66d R2 SPXU har4,True,
fund 66d R2 SPXU harqts,True,
all nonoverlap offsets present,True,"{5: 5, 22: 22, 66: 66}"
future-data perturbation passes,True,"[{'horizon': 5, 'n_compared': 1696, 'max_abs_difference': 0.0, 'pass': True}, {'horizon': 22, 'n_compared': 1679, 'max_abs_difference': 0.0, 'pass': True}, {'horizon': 66, 'n_compared': 1635, 'max_abs_difference': 0.0, 'pass': True}]"
obsolete phrase absent: only the probability measure changes,True,
obsolete phrase absent: cleanly identifies,True,
obsolete phrase absent: HAR-RV,True,
obsolete phrase absent: [REPOSITORY,True,
obsolete phrase absent: TODO,True,
obsolete phrase absent: Revstov,True,
obsolete phrase absent: independent verification script,True,
anonymous source lacks Kartikay,True,
anonymous source lacks Goyle,True,
anonymous source lacks Yevgen,True,
anonymous source lacks Revtsov,True,
anonymous source lacks goylekar,True,
anonymous source lacks yrevtsov,True,
named source contains both authors,True,
required qualification present: not under QLIKE,True,
required qualification present: no loss-uniform dominance,True,
required qualification present: scaling alone cannot change R2,True,
required qualification present: SPY-SPX basis,True,
required qualification present: ex post diagnostics,True,
required qualification present: not a substitute for intraday realized variance,True,
required qualification present: not significantly outperform the HAR(4),True,
required qualification present: VIX9D,True,
required qualification present: outside the implemented analysis,True,
headline token in source: 0.352,True,
headline token in source: 0.184,True,
headline token in source: -0.204,True,
headline token in source: 0.063,True,
headline token in source: 0.020,True,
headline token in source: 0.021,True,
headline token in source: 0.181,True,
headline token in source: 0.925,True,
headline token in source: 1.431,True,
headline token in source: 0.883,True,
headline token in source: 4.44e-16,True,
headline token in source: 11.48,True,
no Unicode em dash,True,
no prose triple-hyphen,True,
data availability matches public archive,True,
table fragment nonempty table1_variance_performance.tex,True,316
LaTeX row terminator table1_variance_performance.tex:3,True,Horizon & Raw option & MZ option & HAR(3) & HAR(4) & HAR+option & HAR+option+term \\
LaTeX row terminator table1_variance_performance.tex:5,True,5 & 0.352 & 0.301 & 0.128 & 0.114 & 0.186 & 0.254 \\
LaTeX row terminator table1_variance_performance.tex:6,True,22 & 0.184 & 0.179 & 0.158 & 0.142 & 0.187 & 0.192 \\
LaTeX row terminator table1_variance_performance.tex:7,True,66 & -0.204 & 0.063 & 0.040 & 0.025 & 0.057 & 0.059 \\
table fragment nonempty table2_pairwise_tests.tex,True,795
LaTeX row terminator table2_pairwise_tests.tex:3,True,Horizon & Comparison & $\Delta R^2_{OOS}$ & HAC $t$ & HAC $p$ & Block $p$ & CW $p$ \\
LaTeX row terminator table2_pairwise_tests.tex:5,True,5 & MZ vs raw option & -0.051 & -1.57 & 0.118 & 0.086 & 0.592 \\
LaTeX row terminator table2_pairwise_tests.tex:6,True,5 & MZ option vs HAR(4) & 0.188 & 0.96 & 0.335 & 0.335 &  \\
LaTeX row terminator table2_pairwise_tests.tex:7,True,5 & HAR+option+term vs HAR(4) & 0.141 & 1.52 & 0.127 & 0.082 & 0.029 \\
LaTeX row terminator table2_pairwise_tests.tex:9,True,22 & MZ vs raw option & -0.004 & -0.07 & 0.942 & 0.950 & 0.128 \\
LaTeX row terminator table2_pairwise_tests.tex:10,True,22 & MZ option vs HAR(4) & 0.037 & 1.41 & 0.158 & 0.139 &  \\
LaTeX row terminator table2_pairwise_tests.tex:11,True,22 & HAR+option+term vs HAR(4) & 0.050 & 1.51 & 0.131 & 0.104 & 0.023 \\
LaTeX row terminator table2_pairwise_tests.tex:13,True,66 & MZ vs raw option & 0.267 & 2.33 & 0.020 & 0.021 & 0.007 \\
LaTeX row terminator table2_pairwise_tests.tex:14,True,66 & MZ option vs HAR(4) & 0.039 & 1.34 & 0.181 & 0.158 &  \\
LaTeX row terminator table2_pairwise_tests.tex:15,True,66 & HAR+option+term vs HAR(4) & 0.035 & 1.11 & 0.267 & 0.263 & 0.072 \\
table fragment nonempty table3_encompassing.tex,True,536
LaTeX row terminator table3_encompassing.tex:3,True,Horizon & Option forecast & $\beta_{HAR}$ & $p$ & $\beta_{option}$ & $p$ & $R^2$ \\
LaTeX row terminator table3_encompassing.tex:5,True,5 & Raw & 0.040 & 0.762 & 1.299 & 0.004 & 0.384 \\
LaTeX row terminator table3_encompassing.tex:6,True,5 & MZ-calibrated & 0.194 & 0.122 & 0.648 & 0.000 & 0.313 \\
LaTeX row terminator table3_encompassing.tex:8,True,22 & Raw & -0.112 & 0.551 & 0.836 & 0.001 & 0.206 \\
LaTeX row terminator table3_encompassing.tex:9,True,22 & MZ-calibrated & 0.231 & 0.070 & 0.818 & 0.001 & 0.174 \\
LaTeX row terminator table3_encompassing.tex:11,True,66 & Raw & 0.147 & 0.229 & 0.273 & 0.005 & 0.062 \\
LaTeX row terminator table3_encompassing.tex:12,True,66 & MZ-calibrated & 0.311 & 0.046 & 0.406 & 0.268 & 0.051 \\
table fragment nonempty table4_regime_robustness.tex,True,654
